Country,Survey Questions,Survey Responses,Number of Records,Total,Fit Mean,Country Records,Two Sigma (Positive),Two Sigma (Negative),Three Sigma (Positive),Three Sigma (Negative),Percentage
Netherlands,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,550,34026,35.46%,1521,37.86%,33.05%,39.14%,31.78%,36.16%
Japan,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,266,34026,35.46%,1502,37.87%,33.04%,39.16%,31.75%,17.71%
Italy,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,1130,34026,35.46%,3004,37.17%,33.74%,38.07%,32.84%,37.62%
Germany,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,666,34026,35.46%,2059,37.52%,33.39%,38.62%,32.29%,32.35%
France,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,727,34026,35.46%,3069,37.15%,33.76%,38.05%,32.86%,23.69%
Finland,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,691,34026,35.46%,2013,37.55%,33.37%,38.65%,32.26%,34.33%
Denmark,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,1114,34026,35.46%,2001,37.55%,33.36%,38.66%,32.25%,55.67%
Canada,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,747,34026,35.46%,1971,37.57%,33.34%,38.69%,32.22%,37.90%
Australia,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,575,34026,35.46%,1925,37.59%,33.32%,38.73%,32.18%,29.87%
United Kingdom,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,213,34026,12.53%,3004,13.72%,11.35%,14.35%,10.72%,7.09%
Sweden,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,366,34026,12.53%,3005,13.72%,11.35%,14.35%,10.72%,12.18%
Spain,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,364,34026,12.53%,3008,13.72%,11.35%,14.35%,10.72%,12.10%
South Korea,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,77,34026,12.53%,978,14.61%,10.46%,15.71%,9.36%,7.87%
Singapore,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,160,34026,12.53%,1961,14.00%,11.07%,14.78%,10.29%,8.16%
Norway,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,377,34026,12.53%,3005,13.72%,11.35%,14.35%,10.72%,12.55%
Netherlands,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,151,34026,12.53%,1521,14.20%,10.87%,15.08%,9.99%,9.93%
Japan,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,135,34026,12.53%,1502,14.21%,10.86%,15.10%,9.97%,8.99%
Italy,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,407,34026,12.53%,3004,13.72%,11.35%,14.35%,10.72%,13.55%
Germany,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,471,34026,12.53%,2059,13.96%,11.10%,14.72%,10.35%,22.88%
France,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,591,34026,12.53%,3069,13.71%,11.36%,14.33%,10.74%,19.26%
Finland,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,239,34026,12.53%,2013,13.98%,11.09%,14.75%,10.32%,11.87%
Denmark,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,196,34026,12.53%,2001,13.99%,11.08%,14.76%,10.31%,9.80%
Canada,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,300,34026,12.53%,1971,14.00%,11.07%,14.77%,10.30%,15.22%
Australia,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",5 - Strongly disagree,218,34026,12.53%,1925,14.01%,11.06%,14.80%,10.27%,11.32%
United Kingdom,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,109,34026,8.21%,3004,9.19%,7.22%,9.71%,6.70%,3.63%
Sweden,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,240,34026,8.21%,3005,9.19%,7.22%,9.71%,6.70%,7.99%
Spain,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,237,34026,8.21%,3008,9.19%,7.22%,9.71%,6.70%,7.88%
South Korea,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,116,34026,8.21%,978,9.93%,6.49%,10.84%,5.57%,11.86%
Singapore,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,205,34026,8.21%,1961,9.42%,6.99%,10.06%,6.35%,10.45%
Norway,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,274,34026,8.21%,3005,9.19%,7.22%,9.71%,6.70%,9.12%
Netherlands,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,123,34026,8.21%,1521,9.58%,6.83%,10.32%,6.09%,8.09%
Japan,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,174,34026,8.21%,1502,9.59%,6.82%,10.33%,6.08%,11.58%
Italy,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,236,34026,8.21%,3004,9.19%,7.22%,9.71%,6.70%,7.86%
Germany,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,158,34026,8.21%,2059,9.39%,7.02%,10.02%,6.39%,7.67%
France,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,317,34026,8.21%,3069,9.18%,7.23%,9.69%,6.72%,10.33%
Finland,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,185,34026,8.21%,2013,9.40%,7.01%,10.04%,6.37%,9.19%
Denmark,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,98,34026,8.21%,2001,9.41%,7.00%,10.05%,6.36%,4.90%
Canada,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,136,34026,8.21%,1971,9.42%,6.99%,10.06%,6.35%,6.90%
Australia,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",4 - Disagree,184,34026,8.21%,1925,9.43%,6.98%,10.08%,6.33%,9.56%
United Kingdom,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,293,34026,18.85%,3004,20.25%,17.45%,20.99%,16.71%,9.75%
Sweden,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,524,34026,18.85%,3005,20.25%,17.45%,20.99%,16.71%,17.44%
Spain,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,533,34026,18.85%,3008,20.25%,17.46%,20.99%,16.71%,17.72%
South Korea,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,269,34026,18.85%,978,21.30%,16.40%,22.61%,15.10%,27.51%
Singapore,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,613,34026,18.85%,1961,20.58%,17.12%,21.50%,16.20%,31.26%
Norway,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,551,34026,18.85%,3005,20.25%,17.45%,20.99%,16.71%,18.34%
Netherlands,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,285,34026,18.85%,1521,20.82%,16.89%,21.86%,15.84%,18.74%
Japan,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,476,34026,18.85%,1502,20.83%,16.88%,21.88%,15.83%,31.69%
Italy,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,476,34026,18.85%,3004,20.25%,17.45%,20.99%,16.71%,15.85%
Germany,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,452,34026,18.85%,2059,20.54%,17.16%,21.44%,16.27%,21.95%
France,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,639,34026,18.85%,3069,20.24%,17.47%,20.97%,16.74%,20.82%
Finland,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,370,34026,18.85%,2013,20.56%,17.14%,21.47%,16.24%,18.38%
Denmark,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,274,34026,18.85%,2001,20.57%,17.14%,21.48%,16.23%,13.69%
Canada,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,296,34026,18.85%,1971,20.58%,17.13%,21.50%,16.21%,15.02%
Australia,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",3 - Neutral,364,34026,18.85%,1925,20.60%,17.11%,21.53%,16.18%,18.91%
United Kingdom,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,258,34026,13.35%,3004,14.57%,12.14%,15.22%,11.49%,8.59%
Sweden,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,344,34026,13.35%,3005,14.57%,12.14%,15.22%,11.49%,11.45%
Spain,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,374,34026,13.35%,3008,14.57%,12.14%,15.22%,11.49%,12.43%
South Korea,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,195,34026,13.35%,978,15.49%,11.22%,16.62%,10.09%,19.94%
Singapore,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,446,34026,13.35%,1961,14.86%,11.85%,15.66%,11.05%,22.74%
Norway,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,383,34026,13.35%,3005,14.57%,12.14%,15.22%,11.49%,12.75%
Netherlands,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,206,34026,13.35%,1521,15.06%,11.64%,15.97%,10.74%,13.54%
Japan,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,340,34026,13.35%,1502,15.07%,11.63%,15.99%,10.72%,22.64%
Italy,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,359,34026,13.35%,3004,14.57%,12.14%,15.22%,11.49%,11.95%
Germany,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,281,34026,13.35%,2059,14.82%,11.89%,15.60%,11.11%,13.65%
France,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,440,34026,13.35%,3069,14.56%,12.15%,15.20%,11.51%,14.34%
Finland,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,283,34026,13.35%,2013,14.84%,11.87%,15.63%,11.08%,14.06%
Denmark,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,150,34026,13.35%,2001,14.84%,11.86%,15.64%,11.07%,7.50%
Canada,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,222,34026,13.35%,1971,14.86%,11.85%,15.65%,11.06%,11.26%
Australia,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",2 - Agree,263,34026,13.35%,1925,14.87%,11.83%,15.68%,11.03%,13.66%
United Kingdom,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,2131,34026,47.05%,3004,48.84%,45.27%,49.78%,44.32%,70.94%
Sweden,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,1531,34026,47.05%,3005,48.84%,45.27%,49.78%,44.32%,50.95%
Spain,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,1500,34026,47.05%,3008,48.84%,45.27%,49.78%,44.32%,49.87%
South Korea,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,321,34026,47.05%,978,50.18%,43.92%,51.84%,42.26%,32.82%
Singapore,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,537,34026,47.05%,1961,49.26%,44.84%,50.43%,43.67%,27.38%
Norway,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,1420,34026,47.05%,3005,48.84%,45.27%,49.78%,44.32%,47.25%
Netherlands,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,756,34026,47.05%,1521,49.56%,44.54%,50.89%,43.21%,49.70%
Japan,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,377,34026,47.05%,1502,49.58%,44.53%,50.92%,43.19%,25.10%
Italy,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,1526,34026,47.05%,3004,48.84%,45.27%,49.78%,44.32%,50.80%
Germany,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,697,34026,47.05%,2059,49.21%,44.90%,50.35%,43.75%,33.85%
France,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,1082,34026,47.05%,3069,48.82%,45.29%,49.76%,44.35%,35.26%
Finland,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,936,34026,47.05%,2013,49.23%,44.87%,50.39%,43.71%,46.50%
Denmark,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,1283,34026,47.05%,2001,49.24%,44.87%,50.40%,43.70%,64.12%
Canada,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,1017,34026,47.05%,1971,49.26%,44.85%,50.43%,43.68%,51.60%
Australia,"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",1 - Strongly agree,896,34026,47.05%,1925,49.28%,44.82%,50.47%,43.64%,46.55%
